"gene_name","blast_annot","GOs","pfams","signalP","TMHMM","rhy_foragers","rhy_nurses","identity"
"LOC105253592","vacuole membrane protein 1",NA,NA,0,6,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105253644","5-aminolevulinate synthase, erythroid-specific, mitochondrial isoform X1","GO:0009058|biosynthetic process; GO:0030170|pyridoxal phosphate binding","PF00155|Aminotransferase class I and II",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105253665","programmed cell death 6-interacting protein","GO:0005515|protein binding","PF13949|ALIX V-shaped domain binding to HIV; PF03097|BRO1-like domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105254556","ceramide kinase","GO:0016301|kinase activity","PF00781|Diacylglycerol kinase catalytic domain",0,0,"24h","24h","24h-rhythmic in foragers; module-12 gene"
"LOC105254853","methionine--tRNA ligase, cytoplasmic isoform X2","GO:0004812|aminoacyl-tRNA ligase activity; GO:0005524|ATP binding; GO:0006418|tRNA aminoacylation for protein translation","PF09334|tRNA synthetases class I (M); PF00458|WHEP-TRS domain; PF00458|WHEP-TRS domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105254996","eukaryotic translation initiation factor 6","GO:0042256|mature ribosome assembly; GO:0043022|ribosome binding","PF01912|eIF-6 family",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105255003","decapping and exoribonuclease protein",NA,"PF08652|RAI1 like PD-(D/E)XK nuclease",0,0,"24h","24h","24h-rhythmic in foragers; module-12 gene"
"LOC105256105","prostate stem cell antigen",NA,NA,2,1,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105256289","uncharacterized protein LOC105256289",NA,"PF15998|Domain of unknown function (DUF4773)",1,1,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105256516","uncharacterized protein LOC105256516 isoform X1","GO:0003676|nucleic acid binding","PF05485|THAP domain",0,0,"24h","24h","24h-rhythmic in foragers; module-12 gene"
"LOC105256560","nucleotide exchange factor SIL1",NA,NA,1,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105257048","proteasome activator complex subunit 3 isoform X2","GO:0008537|proteasome activator complex","PF02252|Proteasome activator pa28 beta subunit; PF02251|Proteasome activator pa28 alpha subunit",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105257291","arginine--tRNA ligase, cytoplasmic","GO:0004814|arginine-tRNA ligase activity; GO:0005524|ATP binding; GO:0005737|cytoplasm; GO:0006420|arginyl-tRNA aminoacylation","PF05746|DALR anticodon binding domain; PF00750|tRNA synthetases class I (R); PF03485|Arginyl tRNA synthetase N terminal domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105257398","protein brambleberry-like isoform X1",NA,NA,1,3,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105257665","ras-related protein Rab-8A isoform X1","GO:0003924|GTPase activity; GO:0005525|GTP binding","PF00071|Ras family",0,0,"24h","24h","24h-rhythmic in foragers; module-12 gene"
"LOC105257676","cdc42 homolog","GO:0003924|GTPase activity; GO:0005525|GTP binding","PF00071|Ras family",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105258120","dehydrodolichyl diphosphate synthase complex subunit DHDDS","GO:0016765|transferase activity, transferring alkyl or aryl (other than methyl) groups","PF01255|Putative undecaprenyl diphosphate synthase",0,0,"24h","24h","24h-rhythmic in foragers; module-12 gene"
"LOC105258650","lipid storage droplets surface-binding protein 2-like",NA,"PF03036|Perilipin family",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105258683","ectonucleoside triphosphate diphosphohydrolase 5 isoform X2","GO:0016787|hydrolase activity","PF01150|GDA1/CD39 (nucleoside phosphatase) family",0,1,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105258822","uncharacterized protein LOC105258822","GO:0030431|sleep; GO:0032222|regulation of synaptic transmission, cholinergic; GO:1903818|positive regulation of voltage-gated potassium channel activity","PF17064|Sleepless protein",1,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105258977","elongation factor G, mitochondrial","GO:0003924|GTPase activity; GO:0005525|GTP binding","PF14492|Elongation Factor G, domain II; PF03144|Elongation factor Tu domain 2; PF03764|Elongation factor G, domain IV; PF00679|Elongation factor G C-terminus; PF00009|Elongation factor Tu GTP binding domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105258983","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A","GO:0004576|oligosaccharyl transferase activity; GO:0006486|protein glycosylation; GO:0016020|membrane","PF02516|Oligosaccharyl transferase STT3 subunit",0,13,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC105259098","valine--tRNA ligase","GO:0004812|aminoacyl-tRNA ligase activity; GO:0005524|ATP binding; GO:0006418|tRNA aminoacylation for protein translation","PF00133|tRNA synthetases class I (I, L, M and V); PF08264|Anticodon-binding domain of tRNA",0,0,"24h","24h","24h-rhythmic in foragers; module-12 gene"
"LOC105259277","porphobilinogen deaminase","GO:0004418|hydroxymethylbilane synthase activity; GO:0033014|tetrapyrrole biosynthetic process","PF03900|Porphobilinogen deaminase, C-terminal domain; PF01379|Porphobilinogen deaminase, dipyromethane cofactor binding domain",0,0,"24h","24h","24h-rhythmic in foragers; module-12 gene"
"LOC112637031","coiled-coil domain-containing protein 47",NA,"PF07946|Protein of unknown function (DUF1682)",2,1,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC112637647","uncharacterized protein LOC112637647",NA,"PF16064|Domain of unknown function (DUF4806)",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
"LOC112637741",NA,NA,NA,NA,NA,"24h","not_rhy","24h-rhythmic in foragers; module-12 gene"
