"gene_name","blast_annot","GOs","pfams","signalP","TMHMM","rhy_foragers","rhy_nurses","identity"
"LOC105248081","nuclear cap-binding protein subunit 2","GO:0000339|RNA cap binding; GO:0005846|nuclear cap binding complex; GO:0045292|mRNA cis splicing, via spliceosome","PF00076|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248082","uncharacterized protein LOC105248082","GO:0003735|structural constituent of ribosome; GO:0005840|ribosome; GO:0006412|translation","PF04758|Ribosomal protein S30",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248083","MICOS complex subunit MIC27 isoform X3","GO:0042407|cristae formation; GO:0061617|MICOS complex","PF09769|Apolipoprotein O",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248096","polypeptide N-acetylgalactosaminyltransferase 35A",NA,"PF00535|Glycosyl transferase family 2; PF00652|Ricin-type beta-trefoil lectin domain",0,1,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248097","transcriptional adapter 1","GO:0070461|SAGA-type complex","PF12767|Transcriptional regulator of RNA polII, SAGA, subunit",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248102","ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1-like","GO:0005515|protein binding","PF12796|Ankyrin repeats (3 copies); PF13606|Ankyrin repeat",0,1,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248112","uncharacterized protein LOC105248112","GO:0004140|dephospho-CoA kinase activity; GO:0005524|ATP binding; GO:0015937|coenzyme A biosynthetic process","PF01121|Dephospho-CoA kinase",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248114","ER membrane protein complex subunit 4",NA,"PF06417|Protein of unknown function (DUF1077)",0,1,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248115","repressor of RNA polymerase III transcription MAF1 homolog","GO:0016480|negative regulation of transcription by RNA polymerase III","PF09174|Maf1 regulator",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248125","thioredoxin-related transmembrane protein 2 homolog","GO:0045454|cell redox homeostasis","PF00085|Thioredoxin",0,4,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248131","uncharacterized protein LOC105248131","GO:0004298|threonine-type endopeptidase activity; GO:0006511|ubiquitin-dependent protein catabolic process; GO:0019773|proteasome core complex, alpha-subunit complex","PF05253|U11-48K-like CHHC zinc finger; PF05253|U11-48K-like CHHC zinc finger; PF00227|Proteasome subunit; PF10584|Proteasome subunit A N-terminal signature",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248133","uncharacterized protein LOC105248133",NA,NA,0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248161","dual specificity protein phosphatase 3","GO:0008138|protein tyrosine/serine/threonine phosphatase activity; GO:0016311|dephosphorylation","PF00782|Dual specificity phosphatase, catalytic domain",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248163",NA,NA,NA,NA,NA,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248168","V-type proton ATPase subunit d","GO:0015078|proton transmembrane transporter activity; GO:0033179|proton-transporting V-type ATPase, V0 domain; GO:1902600|proton transmembrane transport","PF01992|ATP synthase (C/AC39) subunit",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248195","uncharacterized protein LOC105248195 isoform X1",NA,"PF02958|Ecdysteroid kinase",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248198","nucleolar MIF4G domain-containing protein 1 homolog","GO:0003723|RNA binding; GO:0005515|protein binding","PF02847|MA3 domain; PF02854|MIF4G domain",0,0,"24h","12h","24h-rhythmic in foragers; module-4 gene"
"LOC105248217","mitochondrial import inner membrane translocase subunit TIM14 isoform X2",NA,NA,0,1,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248222","sentrin-specific protease 8","GO:0006508|proteolysis; GO:0008234|cysteine-type peptidase activity","PF02902|Ulp1 protease family, C-terminal catalytic domain",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248226","syntaxin-8",NA,NA,0,1,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248249","RUS1 family protein C16orf58",NA,"PF04884|Vitamin B6 photo-protection and homoeostasis",0,5,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248254","39S ribosomal protein L19, mitochondrial","GO:0003735|structural constituent of ribosome; GO:0005840|ribosome; GO:0006412|translation","PF01245|Ribosomal protein L19",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248262","apoptosis-inducing factor 3 isoform X3","GO:0016491|oxidoreductase activity; GO:0051537|2 iron, 2 sulfur cluster binding; GO:0055114|oxidation-reduction process","PF00355|Rieske [2Fe-2S] domain; PF07992|Pyridine nucleotide-disulphide oxidoreductase",0,1,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248280","5\'-nucleotidase domain-containing protein 1",NA,"PF05761|5' nucleotidase family",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248282","U7 snRNA-associated Sm-like protein LSm10",NA,"PF01423|LSM domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248294","sorbitol dehydrogenase isoform X1","GO:0055114|oxidation-reduction process","PF00107|Zinc-binding dehydrogenase; PF08240|Alcohol dehydrogenase GroES-like domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248305","3-hydroxyacyl-CoA dehydrogenase type-2",NA,"PF00106|short chain dehydrogenase",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248311","chaoptin-like","GO:0005515|protein binding","PF13855|Leucine rich repeat; PF13855|Leucine rich repeat",1,1,"24h","8h","24h-rhythmic in foragers; module-4 gene"
"LOC105248328","translation initiation factor eIF-2B subunit alpha isoform X1","GO:0044237|cellular metabolic process","PF01008|Initiation factor 2 subunit family",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248329","cell death abnormality protein 8-like isoform X2","GO:0016021|integral component of membrane","PF09815|XK-related protein",0,6,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248338","probable 28S rRNA (cytosine-C(5))-methyltransferase isoform X1","GO:0008168|methyltransferase activity","PF01189|16S rRNA methyltransferase RsmB/F",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248344","exosome complex component RRP46",NA,"PF01138|3' exoribonuclease family, domain 1",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248377","protein-glutamate O-methyltransferase isoform X1","GO:0051998|protein carboxyl O-methyltransferase activity","PF01937|Protein of unknown function DUF89",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248431","UPF0454 protein C12orf49 homolog",NA,"PF10218|Uncharacterized conserved protein (DUF2054)",0,1,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248434","dynein regulatory complex protein 8 isoform X3",NA,NA,0,0,"24h","8h","24h-rhythmic in foragers; module-4 gene"
"LOC105248449","delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial isoform X1","GO:0003824|catalytic activity","PF00378|Enoyl-CoA hydratase/isomerase",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248457","calmodulin-like protein 4","GO:0005509|calcium ion binding","PF13499|EF-hand domain pair",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248462","AN1-type zinc finger protein 1","GO:0008270|zinc ion binding","PF01428|AN1-like Zinc finger",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248467","heparanase isoform X1","GO:0016020|membrane; GO:0016798|hydrolase activity, acting on glycosyl bonds","PF03662|Glycosyl hydrolase family 79, N-terminal domain",0,1,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248469","uncharacterized protein LOC105248469","GO:0033180|proton-transporting V-type ATPase, V1 domain; GO:0046933|proton-transporting ATP synthase activity, rotational mechanism; GO:0046961|proton-transporting ATPase activity, rotational mechanism; GO:1902600|proton transmembrane transport","PF05827|Vacuolar ATP synthase subunit S1 (ATP6S1)",2,1,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248506","protein SAAL1",NA,NA,0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248531","mitochondrial inner membrane protein OXA1L","GO:0016021|integral component of membrane; GO:0032977|membrane insertase activity","PF02096|60Kd inner membrane protein",0,4,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248578","cyclin-K isoform X1",NA,"PF00134|Cyclin, N-terminal domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248613","uncharacterized protein LOC105248613",NA,NA,0,4,"24h","8h","24h-rhythmic in foragers; module-4 gene"
"LOC105248625","stomatin-like protein 2, mitochondrial",NA,"PF16200|C-terminal region of band_7; PF01145|SPFH domain / Band 7 family",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248629","protein KRTCAP2 homolog isoform X1",NA,"PF09775|Keratinocyte-associated protein 2",0,3,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248637","cytochrome c oxidase assembly protein COX11, mitochondrial","GO:0005507|copper ion binding","PF04442|Cytochrome c oxidase assembly protein CtaG/Cox11",0,1,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248639","cytosolic Fe-S cluster assembly factor NUBP1 homolog",NA,"PF10609|NUBPL iron-transfer P-loop NTPase",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248655","solute carrier family 35 member E3",NA,"PF03151|Triose-phosphate Transporter family",0,8,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248660",NA,NA,NA,NA,NA,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248691","angiogenic factor with G patch and FHA domains 1 isoform X1","GO:0003676|nucleic acid binding; GO:0005515|protein binding","PF00498|FHA domain; PF17780|OCRE domain; PF01585|G-patch domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248708","methyltransferase-like protein 2-A",NA,"PF08242|Methyltransferase domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248738","nucleolar protein 12 isoform X1",NA,"PF09805|Nucleolar protein 12 (25kDa)",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248743","vacuolar protein sorting-associated protein 72 homolog","GO:0005634|nucleus; GO:0006355|regulation of transcription, DNA-templated; GO:0043486|histone exchange","PF08265|YL1 nuclear protein C-terminal domain; PF05764|YL1 nuclear protein",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248754","40S ribosomal protein S19a","GO:0003735|structural constituent of ribosome; GO:0005840|ribosome; GO:0006412|translation","PF01090|Ribosomal protein S19e",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248757","peroxisomal membrane protein PEX16",NA,"PF08610|Peroxisomal membrane protein (Pex16)",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248759","uncharacterized protein LOC105248759 isoform X1",NA,"PF13561|Enoyl-(Acyl carrier protein) reductase",1,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248774","uncharacterized protein LOC105248774","GO:0004518|nuclease activity; GO:0006281|DNA repair","PF03372|Endonuclease/Exonuclease/phosphatase family",0,1,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248782","charged multivesicular body protein 7","GO:0007034|vacuolar transport","PF03357|Snf7",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248784","probable 39S ribosomal protein L45, mitochondrial",NA,"PF04280|Tim44-like domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248792","tRNA pseudouridine synthase A","GO:0001522|pseudouridine synthesis; GO:0003723|RNA binding; GO:0009982|pseudouridine synthase activity","PF01416|tRNA pseudouridine synthase",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248800","protein MCM10 homolog","GO:0003690|double-stranded DNA binding; GO:0003697|single-stranded DNA binding; GO:0005634|nucleus; GO:0006270|DNA replication initiation","PF09332|Mcm10 replication factor; PF09329|Primase zinc finger",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248832","uncharacterized protein LOC105248832 isoform X2",NA,NA,0,1,"24h","8h","24h-rhythmic in foragers; module-4 gene"
"LOC105248837","uncharacterized protein F10E9.5","GO:0000387|spliceosomal snRNP assembly; GO:0032797|SMN complex","PF15348|Gemini of Cajal bodies-associated protein 8",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248847","eukaryotic translation initiation factor 1A, X-chromosomal","GO:0003743|translation initiation factor activity; GO:0006413|translational initiation","PF01176|Translation initiation factor 1A / IF-1",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248858","DDB1- and CUL4-associated factor 13","GO:0005515|protein binding","PF04158|Sof1-like domain; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat; PF00400|WD domain, G-beta repeat",0,1,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248865","V-type proton ATPase subunit G","GO:0016471|vacuolar proton-transporting V-type ATPase complex; GO:0042626|ATPase-coupled transmembrane transporter activity; GO:1902600|proton transmembrane transport","PF03179|Vacuolar (H+)-ATPase G subunit",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248871","uncharacterized protein C6orf203 homolog",NA,NA,0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248889","peptidyl-prolyl cis-trans isomerase D","GO:0000413|protein peptidyl-prolyl isomerization; GO:0003755|peptidyl-prolyl cis-trans isomerase activity","PF00160|Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248896","protein stunted isoform X2","GO:0000275|mitochondrial proton-transporting ATP synthase complex, catalytic core F(1); GO:0015986|ATP synthesis coupled proton transport; GO:0046933|proton-transporting ATP synthase activity, rotational mechanism","PF04627|Mitochondrial ATP synthase epsilon chain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248910","ras-related and estrogen-regulated growth inhibitor","GO:0003924|GTPase activity; GO:0005525|GTP binding","PF00071|Ras family",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248939","putative transferase CAF17 homolog, mitochondrial",NA,"PF01571|Aminomethyltransferase folate-binding domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248950","katanin p60 ATPase-containing subunit A-like 1 isoform X1","GO:0005524|ATP binding","PF00004|ATPase family associated with various cellular activities (AAA); PF09336|Vps4 C terminal oligomerisation domain; PF17862|AAA+ lid domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248951","uncharacterized protein LOC105248951",NA,"PF16013|Domain of unknown function (DUF4781)",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248954","N-alpha-acetyltransferase 50","GO:0008080|N-acetyltransferase activity","PF00583|Acetyltransferase (GNAT) family",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248962","protein yippee-like 5",NA,"PF03226|Yippee zinc-binding/DNA-binding /Mis18, centromere assembly",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248963","RNA-binding motif protein, X-linked 2","GO:0003676|nucleic acid binding","PF00076|RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105248967","craniofacial development protein 1",NA,"PF07572|Bucentaur or craniofacial development",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248972","golgin subfamily A member 2","GO:0005794|Golgi apparatus","PF15070|Putative golgin subfamily A member 2-like protein 5; PF15070|Putative golgin subfamily A member 2-like protein 5",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248974","protein KRI1 homolog",NA,"PF10357|Domain of Kin17 curved DNA-binding protein; PF05178|KRI1-like family; PF12936|KRI1-like family C-terminal; PF18131|KN17 SH3-like C-terminal domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248989","28S ribosomal protein S29, mitochondrial",NA,"PF10236|Mitochondrial ribosomal death-associated protein 3",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105248990","rab5 GDP/GTP exchange factor isoform X1","GO:0003677|DNA binding; GO:0008270|zinc ion binding","PF01754|A20-like zinc finger; PF18151|Domain of unknown function (DUF5601); PF02204|Vacuolar sorting protein 9 (VPS9) domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249008","DTW domain-containing protein 1 isoform X1",NA,"PF03942|DTW domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249015","alpha-1,3/1,6-mannosyltransferase ALG2","GO:0004378|GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity; GO:0006486|protein glycosylation","PF00534|Glycosyl transferases group 1; PF13439|Glycosyltransferase Family 4",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249016","vesicle transport through interaction with t-SNAREs homolog 1B",NA,"PF12352|Snare region anchored in the vesicle membrane C-terminus",0,1,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249018","sodium/potassium-transporting ATPase subunit beta-1","GO:0005890|sodium:potassium-exchanging ATPase complex; GO:0006813|potassium ion transport; GO:0006814|sodium ion transport","PF00287|Sodium / potassium ATPase beta chain",0,1,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249021","protein krasavietz","GO:0005515|protein binding","PF02020|eIF4-gamma/eIF5/eIF2-epsilon",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249022","serine--tRNA ligase, mitochondrial","GO:0004828|serine-tRNA ligase activity; GO:0005524|ATP binding; GO:0006434|seryl-tRNA aminoacylation","PF00587|tRNA synthetase class II core domain (G, H, P, S and T)",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105249033","GTP-binding protein SAR1b","GO:0005525|GTP binding","PF00025|ADP-ribosylation factor family",0,0,"24h","8h","24h-rhythmic in foragers; module-4 gene"
"LOC105249091","phosphomannomutase","GO:0004615|phosphomannomutase activity; GO:0005737|cytoplasm; GO:0009298|GDP-mannose biosynthetic process","PF03332|Eukaryotic phosphomannomutase",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105249097","transmembrane protein 186",NA,NA,0,2,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249098","28S ribosomal protein S7, mitochondrial","GO:0006412|translation","PF00177|Ribosomal protein S7p/S5e",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249115","SPRY domain-containing protein 7","GO:0005515|protein binding","PF00622|SPRY domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249117","dynactin subunit 3","GO:0005869|dynactin complex; GO:0061640|cytoskeleton-dependent cytokinesis","PF07426|Dynactin subunit p22",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105249122","cilia- and flagella-associated protein 20",NA,"PF05018|Protein of unknown function (DUF667)",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249126","stromal cell-derived factor 2","GO:0016020|membrane","PF02815|MIR domain",2,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249129","transmembrane protein 50A",NA,"PF05255|Uncharacterised protein family (UPF0220)",0,4,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249131","uncharacterized protein LOC105249131",NA,NA,0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249134","mismatch repair endonuclease PMS2","GO:0005524|ATP binding; GO:0006298|mismatch repair; GO:0016887|ATPase activity; GO:0030983|mismatched DNA binding; GO:0032300|mismatch repair complex","PF01119|DNA mismatch repair protein, C-terminal domain; PF13589|Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase; PF08676|MutL C terminal dimerisation domain",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105249140","tether containing UBX domain for GLUT4","GO:0005515|protein binding","PF00789|UBX domain; PF11470|TUG ubiquitin-like domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249149","dimethyladenosine transferase 1, mitochondrial",NA,"PF00398|Ribosomal RNA adenine dimethylase",0,0,"24h","24h","24h-rhythmic in foragers; module-4 gene"
"LOC105249152","programmed cell death protein 2","GO:0005737|cytoplasm","PF04194|Programmed cell death protein 2, C-terminal putative domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249182","ubiquitin carboxyl-terminal hydrolase 30","GO:0016579|protein deubiquitination; GO:0036459|thiol-dependent ubiquitinyl hydrolase activity","PF00443|Ubiquitin carboxyl-terminal hydrolase",0,2,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249205","acetyl-CoA acetyltransferase, mitochondrial isoform X1","GO:0016747|transferase activity, transferring acyl groups other than amino-acyl groups","PF00108|Thiolase, N-terminal domain; PF02803|Thiolase, C-terminal domain; PF05768|Glutaredoxin-like domain (DUF836)",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249216","U6 snRNA-associated Sm-like protein LSm6","GO:0000398|mRNA splicing, via spliceosome; GO:0005732|small nucleolar ribonucleoprotein complex","PF01423|LSM domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249218","protein TIPIN homolog","GO:0000076|DNA replication checkpoint; GO:0005634|nucleus; GO:0006974|cellular response to DNA damage stimulus; GO:0048478|replication fork protection","PF07962|Replication Fork Protection Component Swi3",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249282","mitochondrial import inner membrane translocase subunit Tim23 isoform X1",NA,"PF02466|Tim17/Tim22/Tim23/Pmp24 family",0,3,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249293","uncharacterized protein LOC105249293",NA,"PF02958|Ecdysteroid kinase",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249299","uncharacterized protein LOC105249299 isoform X1","GO:0000786|nucleosome; GO:0003677|DNA binding","PF10545|Alcohol dehydrogenase transcription factor Myb/SANT-like; PF13873|Myb/SANT-like DNA-binding domain",0,0,"24h","not_rhy","24h-rhythmic in foragers; module-4 gene"
"LOC105249301","uncharacterized protein LOC105249301 isoform X1",NA,"PF10507|Transmembrane protein 65",0,3,"24h","24h","24h-rhythmic in foragers; module-4 gene"
